Field Number,Element Label,Starting,Ending,Length,Type
252,Less than $100,1952,1959,8,N
253,$100 - $149,1960,1967,8,N
254,$150 - $199,1968,1975,8,N
255,$200 - $249,1976,1983,8,N
256,$250 - $299,1984,1991,8,N
257,$300 - $349,1992,1999,8,N
258,$350 - $399,2000,2007,8,N
259,$400 - $449,2008,2015,8,N
260,$450 - $499,2016,2023,8,N
261,$500 - $549,2024,2031,8,N
262,$550 - $599,2032,2039,8,N
263,$600 - $649,2040,2047,8,N
264,$650 - $699,2048,2055,8,N
265,$700 - $749,2056,2063,8,N
266,$750 - $999,2064,2071,8,N
267,$1000 or more,2072,2079,8,N
268,No Cash Rent,2080,2087,8,N
269,"Median Gross Rent, count",2088,2095,8,N
270,Median Gross Rent,2096,2103,8,N
271,"Less than $10,000",2104,2111,8,N
272,"$10,000 - $19,999",2112,2119,8,N
273,"$20,000 - $34,999",2120,2127,8,N
274,"$35,000 - $49,999",2128,2135,8,N
275,"$50,000  or over",2136,2143,8,N
276,With a Mortgage: >= 30%,2144,2151,8,N
277,With a Mortgage: Total,2152,2159,8,N
278,Not Mortgaged: >=30%,2160,2167,8,N
279,Not Mortgaged:  Total,2168,2175,8,N
280,With a Mortgage,2176,2183,8,N
281,Not Mortgaged,2184,2191,8,N
282,"< $20,000",2192,2199,8,N
283,"$20,000-$39,999",2200,2207,8,N
284,"$40,000-$49,999",2208,2215,8,N
285,"$50,000-$74,999",2216,2223,8,N
286,"$75,000-$99,999",2224,2231,8,N
287,"$100,000-$149,999",2232,2239,8,N
288,"$150,000-$199,999",2240,2247,8,N
289,"$200,000+",2248,2255,8,N
290,Total Count,2256,2263,8,N
291,Median Value,2264,2271,8,N
292,"Less than $15,000",2272,2279,8,N
293,"$15,000 - $19,999",2280,2287,8,N
294,"$20,000 - $24,999",2288,2295,8,N
295,"$25,000 - $29,999",2296,2303,8,N
296,"$30,000 - $34,999",2304,2311,8,N
297,"$35,000 - $39,999",2312,2319,8,N
298,"$40,000 - $44,999",2320,2327,8,N
299,"$45,000 - $49,999",2328,2335,8,N
300,"$50,000 - $59,999",2336,2343,8,N
301,"$60,000 - $74,999",2344,2351,8,N
302,"$75,000 - $99,999",2352,2359,8,N
303,"$100,000 - $124,999",2360,2367,8,N
304,"$125,000 - $149,999",2368,2375,8,N
305,"$150,000 - $174,999",2376,2383,8,N
306,"$175,000 - $199,999",2384,2391,8,N
307,"$200,000 - $249,999",2392,2399,8,N
308,"$250,000 - $299,999",2400,2407,8,N
309,"$300,000 - $399,999",2408,2415,8,N
310,"$400,000 - $499,999",2416,2423,8,N
311,"$500,000 or more",2424,2431,8,N
312,Owner Occupied,2432,2439,8,N
313,Renter Occupied,2440,2447,8,N
314,Total Units,2448,2455,8,N
315,Income Indicator,2456,2456,1,N
